"word","count","nextWord","phrase"
"can see",286,"see","can"
"know i",285,"i","know"
"is on",285,"on","is"
"i believe",285,"believe","i"
"are going",284,"going","are"
"was an",283,"an","was"
"the main",283,"main","the"
"i decided",283,"decided","i"
"of me",282,"me","of"
"just as",282,"as","just"
"my mom",282,"mom","my"
"it's been",282,"been","it's"
"about how",282,"how","about"
"and will",282,"will","and"
"sense of",282,"of","sense"
"it wasn't",281,"wasn't","it"
"are all",281,"all","are"
"to buy",281,"buy","to"
"to learn",281,"learn","to"
"with some",281,"some","with"
"along the",281,"the","along"
"day of",280,"of","day"
"to stop",280,"stop","to"
"was to",280,"to","was"
"needed to",280,"to","needed"
"one day",279,"day","one"
"on that",279,"that","on"
"you guys",279,"guys","you"
"is now",279,"now","is"
"much more",279,"more","much"
"so it",279,"it","so"
"the school",279,"school","the"
"waiting for",278,"for","waiting"
"how the",278,"the","how"
"me the",278,"the","me"
"off to",278,"to","off"
"it but",277,"but","it"
"but in",277,"in","but"
"the public",277,"public","the"
"the final",276,"final","the"
"the word",276,"word","the"
"close to",276,"to","close"
"to move",275,"move","to"
"so the",275,"the","so"
"in some",275,"some","in"
"him and",274,"and","him"
"with all",274,"all","with"
"and one",274,"one","and"
"is about",273,"about","is"
"but if",273,"if","but"
"a chance",273,"chance","a"
"the point",273,"point","the"
"which was",272,"was","which"
"interested in",272,"in","interested"
"came to",272,"to","came"
"looks like",271,"like","looks"
"all my",270,"my","all"
"i started",270,"started","i"
"only one",270,"one","only"
"but this",270,"this","but"
"that if",270,"if","that"
"we don't",270,"don't","we"
"every day",270,"day","every"
"the door",270,"door","the"
"lack of",270,"of","lack"
"the good",269,"good","the"
"that in",269,"in","that"
"made it",268,"it","made"
"to bring",268,"bring","to"
"the third",268,"third","the"
"it as",267,"as","it"
"after all",267,"all","after"
"to him",266,"him","to"
"to that",266,"that","to"
"i'm sure",266,"sure","i'm"
"in to",266,"to","in"
"but a",266,"a","but"
"a better",266,"better","a"
"for example",266,"example","for"
"now that",265,"that","now"
"follow me",265,"me","follow"
"do that",265,"that","do"
"how i",265,"i","how"
"so you",264,"you","so"
"the film",264,"film","the"
"you would",264,"would","you"
"of being",264,"being","of"
"for them",264,"them","for"
"know the",263,"the","know"
"it comes",263,"comes","it"
"that's what",262,"what","that's"
"out on",262,"on","out"
"easy to",262,"to","easy"
"on our",261,"our","on"
"me in",261,"in","me"
"can you",260,"you","can"
"all over",260,"over","all"
"piece of",260,"of","piece"
"the government",260,"government","the"
"a bad",259,"bad","a"
"to them",259,"them","to"
"would not",259,"not","would"
"for him",259,"him","for"
"the real",258,"real","the"
"makes me",258,"me","makes"
"the movie",258,"movie","the"
"to leave",258,"leave","to"
"it can",257,"can","it"
"has the",257,"the","has"
"to change",257,"change","to"
"a single",256,"single","a"
"the family",256,"family","the"
"well i",256,"i","well"
"ability to",256,"to","ability"
"the car",256,"car","the"
"year and",256,"and","year"
"love it",255,"it","love"
"today i",255,"i","today"
"even more",255,"more","even"
"no matter",254,"matter","no"
"you may",254,"may","you"
"next to",254,"to","next"
"what was",254,"was","what"
"my mind",254,"mind","my"
"the sun",254,"sun","the"
"with that",254,"that","with"
"the very",254,"very","the"
"out for",253,"for","out"
"am i",253,"i","am"
"and its",253,"its","and"
"more of",253,"of","more"
"with him",252,"him","with"
"he will",252,"will","he"
"an hour",252,"hour","an"
"they don't",252,"don't","they"
"here in",252,"in","here"
"that's a",252,"a","that's"
"in its",252,"its","in"
"you just",251,"just","you"
"something that",251,"that","something"
"a month",251,"month","a"
"and make",250,"make","and"
"people in",250,"in","people"
"a friend",249,"friend","a"
"life is",249,"is","life"
"at my",249,"my","at"
"all day",249,"day","all"
"deal with",249,"with","deal"
"my head",249,"head","my"
"to let",249,"let","to"
"just the",249,"the","just"
"while i",249,"i","while"
"out a",249,"a","out"
"a second",249,"second","a"
"to eat",248,"eat","to"
"time of",248,"of","time"
"what do",248,"do","what"
"two years",248,"years","two"
"life and",248,"and","life"
"and just",248,"just","and"
"we got",247,"got","we"
"and your",247,"your","and"
"do a",247,"a","do"
"the internet",247,"internet","the"
"many people",247,"people","many"
"long time",246,"time","long"
"now and",246,"and","now"
"the morning",246,"morning","the"
"i'm so",245,"so","i'm"
"do this",245,"this","do"
"and an",245,"an","and"
"to run",245,"run","to"
"why i",245,"i","why"
"the great",245,"great","the"
"here are",244,"are","here"
"just to",244,"to","just"
"is very",244,"very","is"
"is more",244,"more","is"
"comes to",244,"to","comes"
"said in",244,"in","said"
"they would",244,"would","they"
"got the",243,"the","got"
"little bit",243,"bit","little"
"see what",243,"what","see"
"may not",243,"not","may"
"expected to",243,"to","expected"
"one thing",242,"thing","one"
"is this",242,"this","is"
"listen to",242,"to","listen"
"the bottom",242,"bottom","the"
"then the",241,"the","then"
"made me",241,"me","made"
"he did",241,"did","he"
"and that's",241,"that's","and"
"you a",240,"a","you"
"have some",240,"some","have"
"think the",240,"the","think"
"made the",240,"the","made"
"years of",240,"of","years"
"a different",240,"different","a"
"it just",239,"just","it"
"type of",239,"of","type"
"through a",239,"a","through"
"in love",239,"love","in"
"use of",239,"of","use"
"of life",239,"life","of"
"among the",239,"the","among"
"believe that",239,"that","believe"
"your life",238,"life","your"
"opportunity to",238,"to","opportunity"
"i say",238,"say","i"
"these are",238,"are","these"
"a more",238,"more","a"
"tell me",237,"me","tell"
"use the",237,"the","use"
"wish i",236,"i","wish"
"it's just",236,"just","it's"
"of god",235,"god","of"
"you in",235,"in","you"
"what are",235,"are","what"
"the front",235,"front","the"
"the original",235,"original","the"
"am not",235,"not","am"
"a whole",234,"whole","a"
"have had",234,"had","have"
"the number",234,"number","the"
"throughout the",234,"the","throughout"
"become a",233,"a","become"
"what to",233,"to","what"
"are some",233,"some","are"
"not going",233,"going","not"
"that can",233,"can","that"
"the water",233,"water","the"
"next week",232,"week","next"
"be on",232,"on","be"
"a book",232,"book","a"
"the following",232,"following","the"
"can i",231,"i","can"
"that one",231,"one","that"
"of new",231,"new","of"
"the lord",231,"lord","the"
"who had",231,"had","who"
"day i",230,"i","day"
"might have",230,"have","might"
"focus on",229,"on","focus"
"the worst",229,"worst","the"
"looking at",229,"at","looking"
"over a",229,"a","over"
"a real",229,"real","a"
"about what",228,"what","about"
"the moment",228,"moment","the"
"but there",228,"there","but"
"us and",228,"and","us"
"the ground",228,"ground","the"
"but when",228,"when","but"
"a place",228,"place","a"
"i always",228,"always","i"
"for one",227,"one","for"
"how do",227,"do","how"
"are still",227,"still","are"
"think it",227,"it","think"
"the week",227,"week","the"
"had no",227,"no","had"
"because he",227,"he","because"
"the problem",227,"problem","the"
"look like",226,"like","look"
"group of",226,"of","group"
"los angeles",226,"angeles","los"
"he could",226,"could","he"
"where you",225,"you","where"
"behind the",225,"the","behind"
"i took",224,"took","i"
"that could",224,"could","that"
"said she",224,"she","said"
"and on",224,"on","and"
"members of",224,"of","members"
"and are",224,"are","and"
"he says",224,"says","he"
"a woman",224,"woman","a"
"be an",223,"an","be"
"were the",223,"the","were"
"plenty of",223,"of","plenty"
"and of",223,"of","and"
"that have",223,"have","that"
"find out",222,"out","find"
"we should",222,"should","we"
"the name",222,"name","the"
"two of",222,"of","two"
"though i",222,"i","though"
"on top",222,"top","on"
"list of",221,"of","list"
"we could",221,"could","we"
"you might",221,"might","you"
"his first",221,"first","his"
"even the",221,"the","even"
"one that",221,"that","one"
"it could",221,"could","it"
"the truth",220,"truth","the"
"my husband",220,"husband","my"
"the american",220,"american","the"
"didn't have",220,"have","didn't"
"within the",220,"the","within"
"it had",219,"had","it"
"go back",219,"back","go"
"my friend",219,"friend","my"
"to follow",219,"follow","to"
"with no",219,"no","with"
"here and",219,"and","here"
"the things",219,"things","the"
"the ball",219,"ball","the"
"listening to",218,"to","listening"
"that's the",218,"the","that's"
"the weekend",218,"weekend","the"
"excited to",217,"to","excited"
"and with",217,"with","and"
"the biggest",217,"biggest","the"
