"word","count","nextWord","phrase"
"to be an",78,"an","to be"
"in the early",78,"early","in the"
"if i could",78,"could","if i"
"to do that",78,"that","to do"
"i was able",78,"able","i was"
"here is the",78,"the","here is"
"thanks so much",77,"much","thanks so"
"that you are",77,"are","that you"
"it might be",77,"be","it might"
"me and i",77,"i","me and"
"in a row",77,"row","in a"
"that he is",77,"is","that he"
"some sort of",77,"of","some sort"
"it has a",77,"a","it has"
"which is a",77,"a","which is"
"for you to",77,"to","for you"
"the side of",77,"of","the side"
"in the state",77,"state","in the"
"i can't believe",76,"believe","i can't"
"that will be",76,"be","that will"
"he has been",76,"been","he has"
"like to see",76,"see","like to"
"he said the",76,"the","he said"
"a matter of",76,"of","a matter"
"when it was",76,"was","when it"
"one of these",76,"these","one of"
"the other day",76,"day","the other"
"all of them",76,"them","all of"
"the start of",76,"of","the start"
"will continue to",76,"to","will continue"
"this is my",75,"my","this is"
"thank you so",75,"so","thank you"
"he has a",75,"a","he has"
"to do something",75,"something","to do"
"he had a",75,"a","he had"
"it looks like",75,"like","it looks"
"if you were",75,"were","if you"
"it to be",75,"be","it to"
"to check out",75,"out","to check"
"in the new",75,"new","in the"
"are in the",75,"the","are in"
"may have been",75,"been","may have"
"here is a",75,"a","here is"
"in the book",75,"book","in the"
"i miss you",74,"you","i miss"
"thanks for following",74,"following","thanks for"
"over and over",74,"over","over and"
"you can do",74,"do","you can"
"that i don't",74,"don't","that i"
"even though i",74,"i","even though"
"on the ground",74,"ground","on the"
"is what i",74,"i","is what"
"if i had",74,"had","if i"
"to know what",74,"what","to know"
"i like the",74,"the","i like"
"but i was",74,"was","but i"
"for the past",74,"past","for the"
"up for the",74,"the","up for"
"the majority of",74,"of","the majority"
"in the case",74,"case","in the"
"it's hard to",74,"to","it's hard"
"to try and",73,"and","to try"
"i have the",73,"the","i have"
"every time i",73,"i","every time"
"to pay for",73,"for","to pay"
"could have been",73,"been","could have"
"was on the",73,"the","was on"
"time to get",73,"get","time to"
"is part of",73,"of","is part"
"they want to",73,"to","they want"
"and we are",73,"are","and we"
"and one of",73,"of","and one"
"the lack of",73,"of","the lack"
"do you know",73,"know","do you"
"it's been a",73,"a","it's been"
"bottom of the",73,"the","bottom of"
"while i was",73,"was","while i"
"it is to",73,"to","it is"
"parts of the",73,"the","parts of"
"the power of",73,"of","the power"
"i guess i",73,"i","i guess"
"have no idea",73,"idea","have no"
"of the things",73,"things","of the"
"along with the",73,"the","along with"
"it was not",73,"not","it was"
"just a few",73,"few","just a"
"people who are",73,"are","people who"
"and then i",73,"i","and then"
"in the uk",73,"uk","in the"
"for me i",73,"i","for me"
"whether or not",72,"not","whether or"
"the white house",72,"house","the white"
"in the third",72,"third","in the"
"on how to",72,"to","on how"
"make sure you",72,"you","make sure"
"is that i",72,"i","is that"
"so much fun",72,"fun","so much"
"we are all",72,"all","we are"
"want to know",72,"know","want to"
"i wonder if",72,"if","i wonder"
"to come to",72,"to","to come"
"i tried to",72,"to","i tried"
"this was the",72,"the","this was"
"they have a",72,"a","they have"
"we have been",72,"been","we have"
"of the same",72,"same","of the"
"time in the",72,"the","time in"
"this will be",72,"be","this will"
"they are not",72,"not","they are"
"it was an",72,"an","it was"
"you will be",71,"be","you will"
"on to the",71,"the","on to"
"to the next",71,"next","to the"
"i have had",71,"had","i have"
"can be a",71,"a","can be"
"some of them",71,"them","some of"
"and i can",71,"can","and i"
"them in the",71,"the","them in"
"to get back",71,"back","to get"
"he said i",71,"i","he said"
"of the state",71,"state","of the"
"the history of",71,"of","the history"
"was a little",71,"little","was a"
"we decided to",71,"to","we decided"
"all of this",71,"this","all of"
"the world of",71,"of","the world"
"so i have",71,"have","so i"
"and i love",70,"love","and i"
"i don't care",70,"care","i don't"
"a good time",70,"time","a good"
"i get to",70,"to","i get"
"have to get",70,"get","have to"
"reminds me of",70,"of","reminds me"
"we are going",70,"going","we are"
"if it is",70,"is","if it"
"the death of",70,"of","the death"
"that is not",70,"not","that is"
"a few months",70,"months","a few"
"what you think",70,"think","what you"
"i didn't have",70,"have","i didn't"
"this is an",70,"an","this is"
"and then the",70,"the","and then"
"a look at",70,"at","a look"
"a result of",70,"of","a result"
"out on the",70,"the","out on"
"known as the",70,"the","known as"
"the things that",70,"that","the things"
"it would have",70,"have","it would"
"to pick up",70,"up","to pick"
"it should be",69,"be","it should"
"a ton of",69,"of","a ton"
"on the back",69,"back","on the"
"i love this",69,"this","i love"
"over the next",69,"next","over the"
"in recent years",69,"years","in recent"
"so we can",69,"can","so we"
"i have not",69,"not","i have"
"at the beginning",69,"beginning","at the"
"was trying to",69,"to","was trying"
"is to be",69,"be","is to"
"one of his",69,"his","one of"
"that kind of",69,"of","that kind"
